exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes
exp0	baseline defaults (depth=8 batch=131072 dev=32 mlp=4.0)	2.075	94.2	1400	1.2	15	baseline	95s/step, 2 grad_accum, swapping to disk
exp1	TOTAL_BATCH=65536 (2^16)	1.541	51.7	30800	21.7	152	keep	10x more steps, fits in 64GB, already beats M1 Max best
exp2	TOTAL_BATCH=32768 DEV_BATCH=16	1.335	26.1	31600	22.2	299	keep	2x steps vs exp1, 26GB mem, crushes M1 Max best (1.621)
exp3	WARMDOWN_RATIO=0.7	1.379	26.1	25400	18.4	250	discard	worse than exp2, fewer steps, lower MFU — revert
exp4	DEPTH=10 (from 8)	1.599	38.1	15500	19.6	153	discard	too slow (2.1s/step), fewer steps dominates extra capacity
exp5	MLP_RATIO=2.5 (from 4.0)	1.363	23.8	28100	16.7	269	discard	less capacity (44M vs 50M), not enough extra steps to compensate
exp6	TOTAL_BATCH=16384 DEV_BATCH=8	1.356	13.2	26500	18.3	488	discard	more steps (488 vs 299) but lower MFU, batch too small to compensate
exp7	MATRIX_LR=0.06 (from 0.04)	1.327	26.1	32200	22.3	301	keep	new best! higher Muon LR improves convergence
exp8	MATRIX_LR=0.08 (from 0.06)	1.328	26.1	31900	23.0	310	discard	plateau — no improvement over 0.06, revert
exp9	WEIGHT_DECAY=0.1 (from 0.2)	1.322	26.1	32300	22.9	308	keep	new best! lower regularization helps with higher LR
exp10	EMBEDDING_LR=0.8 (from 0.6)	1.322	26.1	32000	23.1	308	discard	no improvement, embedding LR already optimal at 0.6
exp11	WARMUP_RATIO=0.05 (from 0.0)	1.344	26.1	33000	23.1	310	discard	warmup wastes steps at lrm=0.00, worse convergence
exp12	WARMDOWN_RATIO=0.6 (from 0.5)	1.320	26.1	33400	23.2	310	keep	new best! slightly longer cooldown helps with tuned LR
exp13	WARMDOWN_RATIO=0.7 (from 0.6)	1.323	26.1	33400	23.2	310	discard	0.7 too much cooldown even with tuned LR, 0.6 is sweet spot
exp14	UNEMBEDDING_LR=0.006 (from 0.004)	1.320	26.1	33800	23.4	312	keep	marginal improvement (1.3196 vs 1.3205), higher unembed LR helps slightly
